OUI	Manufacturer	Registry	Short_Name	Registered_Date	Sources
28:6F:B9	Nokia Shanghai Bell Co., Ltd.	MA-L	NokiaShangha	2023-07-19	IEEE+Wireshark+Nmap
38:E2:CA	Katun Corporation	MA-L	Katun	2023-07-07	IEEE+Wireshark+Nmap
E8:0A:B9	Cisco Systems, Inc	MA-L	Cisco	2023-07-12	IEEE+Wireshark+Nmap
78:46:5F	Fiberhome Telecommunication Technologies Co.,LTD	MA-L	FiberhomeTel	2023-07-11	IEEE+Wireshark+Nmap
90:75:DE	Zebra Technologies Inc.	MA-L	ZebraTechnol	2023-07-11	IEEE+Wireshark+Nmap
80:BA:16	Micas Networks Inc.	MA-L	MicasNetwork	2023-07-08	IEEE+Wireshark+Nmap
10:E9:92	Ingram Micro Services	MA-L	IngramMicroS	2023-07-15	IEEE+Wireshark+Nmap
78:F2:76	Cyklop Fastjet Technologies (Shanghai) Inc.	MA-L	CyklopFastje	2023-07-15	IEEE+Wireshark+Nmap
20:F8:3B	Nabu Casa, Inc.	MA-L	NabuCasa	2023-07-13	IEEE+Wireshark+Nmap
F0:1B:24	zte corporation	MA-L	zte	2023-07-13	IEEE+Wireshark+Nmap
B8:4C:87	IEEE Registration Authority	MA-L		2023-07-07	IEEE+Nmap
E4:F1:4C	Private	MA-L	Private	2017-10-22	IEEE+Wireshark+Nmap
E0:06:30	Huawei Technologies Co.,Ltd	MA-L	HuaweiTechno	2023-07-01	IEEE+Wireshark+Nmap
04:D1:68	Sunplus Technology Co., Ltd.	MA-L	SunplusTechn	2023-06-28	IEEE+Wireshark+Nmap
64:4C:69	Conprove	MA-L	Conprove	2023-06-28	IEEE+Wireshark+Nmap
DC:D1:60	Tianjin Changdatong Technology Co.,LTD	MA-L	TianjinChang	2023-06-27	IEEE+Wireshark+Nmap
64:4E:D7	HP Inc.	MA-L	HP	2023-06-27	IEEE+Wireshark+Nmap
9C:E3:30	Cisco Meraki	MA-L	CiscoMeraki	2023-06-23	IEEE+Wireshark+Nmap
04:A9:59	New H3C Technologies Co., Ltd	MA-L	NewH3CTechno	2023-06-23	IEEE+Wireshark+Nmap
0C:B9:83	Honor Device Co., Ltd.	MA-L	HonorDevice	2023-06-23	IEEE+Wireshark+Nmap
2C:B3:01	Honor Device Co., Ltd.	MA-L	HonorDevice	2023-06-23	IEEE+Wireshark+Nmap
E0:C2:B7	Masimo Corporation	MA-L	Masimo	2012-11-17	IEEE+Wireshark+Nmap
C8:8B:E8	Masimo Corporation	MA-L	Masimo	2020-03-03	IEEE+Wireshark+Nmap
E4:C7:67	Intel Corporate	MA-L	Intel	2023-07-04	IEEE+Wireshark+Nmap
90:2D:77	Edgecore Americas Networking Corporation	MA-L	EdgecoreAmer	2023-06-22	IEEE+Wireshark+Nmap
6C:FB:ED	GN Audio A/S	MA-L	GNAudio	2023-06-21	IEEE+Wireshark+Nmap
E4:F2:7C	Juniper Networks	MA-L	JuniperNetwo	2023-06-20	IEEE+Wireshark+Nmap
90:6C:4B	Advance Security Electronics	MA-L	AdvanceSecur	2023-06-20	IEEE+Wireshark+Nmap
D4:8A:FC	Espressif Inc.	MA-L	Espressif	2023-06-03	IEEE+Wireshark+Nmap
E4:65:B8	Espressif Inc.	MA-L	Espressif	2023-06-03	IEEE+Wireshark+Nmap
E0:01:C7	Hui Zhou Gaoshengda Technology Co.,LTD	MA-L	HuiZhouGaosh	2023-06-03	IEEE+Wireshark+Nmap
B4:DF:91	Cisco Meraki	MA-L	CiscoMeraki	2023-06-03	IEEE+Wireshark+Nmap
98:EE:8C	zte corporation	MA-L	zte	2023-06-15	IEEE+Wireshark+Nmap
50:E4:78	Sichuan AI-Link Technology Co., Ltd.	MA-L	SichuanAILin	2023-06-16	IEEE+Wireshark+Nmap
90:C7:10	zte corporation	MA-L	zte	2023-06-15	IEEE+Wireshark+Nmap
48:D4:75	Lampuga GmbH	MA-L	Lampuga	2023-06-08	IEEE+Wireshark+Nmap
60:1A:C7	Nintendo Co.,Ltd	MA-L	Nintendo	2023-06-07	IEEE+Wireshark+Nmap
48:DA:35	IEEE Registration Authority	MA-L		2023-06-13	IEEE+Nmap
A8:81:FE	Luxul Tech Co., Ltd	MA-L	LuxulTech	2023-06-13	IEEE+Wireshark+Nmap
64:9A:08	Shenzhen SuperElectron Technology Co.,Ltd.	MA-L	SuperElectro	2017-07-29	IEEE+Wireshark+Nmap
50:F2:22	EM Microelectronic	MA-L	EMMicroelect	2023-06-06	IEEE+Wireshark+Nmap
30:7A:57	Accuenergy (CANADA) Inc	MA-L	Accuenergy	2023-04-28	IEEE+Wireshark+Nmap
CC:EB:5E	Xiaomi Communications Co Ltd	MA-L	XiaomiCommun	2023-05-19	IEEE+Wireshark+Nmap
60:C7:8D	Juniper Networks	MA-L	JuniperNetwo	2023-05-18	IEEE+Wireshark+Nmap
DC:51:93	zte corporation	MA-L	zte	2023-05-25	IEEE+Wireshark+Nmap
74:78:A6	Fortinet, Inc.	MA-L	Fortinet	2023-05-16	IEEE+Wireshark+Nmap
00:19:82	SmarDTV Corporation	MA-L	SmarDTV	2006-09-03	IEEE+Wireshark+Nmap
50:FE:0C	AzureWave Technology Inc.	MA-L	AzureWaveTec	2023-05-31	IEEE+Wireshark+Nmap
BC:FD:0C	Shenzhen Phaten Tech. LTD	MA-L	PhatenTech	2023-05-25	IEEE+Wireshark+Nmap
18:65:C7	Dongguan YIMO Technology Co.LTD	MA-L	DongguanYIMO	2023-05-20	IEEE+Wireshark+Nmap
0C:01:C8	DENSO Co.,Ltd	MA-L	DENSO	2023-05-10	IEEE+Wireshark+Nmap
F4:2E:48	zte corporation	MA-L	zte	2023-05-13	IEEE+Wireshark+Nmap
B4:C2:E0	Bouffalo Lab (Nanjing) Co., Ltd.	MA-L	BouffaloLab	2023-05-12	IEEE+Wireshark+Nmap
04:09:86	Arcadyan Corporation	MA-L	Arcadyan	2023-05-11	IEEE+Wireshark+Nmap
48:1B:A4	Cisco Systems, Inc	MA-L	Cisco	2023-05-04	IEEE+Wireshark+Nmap
F0:EE:7A	Apple, Inc.	MA-L	Apple	2023-05-03	IEEE+Wireshark+Nmap
20:3A:EB	zte corporation	MA-L	zte	2023-05-02	IEEE+Wireshark+Nmap
58:76:B3	Ubee Interactive Co., Limited	MA-L	UbeeInteract	2023-05-02	IEEE+Wireshark+Nmap
E8:70:72	Hangzhou BroadLink Technology Co.,Ltd	MA-L	BroadLinkTec	2023-04-28	IEEE+Wireshark+Nmap
D8:DA:F1	Huawei Technologies Co.,Ltd	MA-L	HuaweiTechno	2023-04-26	IEEE+Wireshark+Nmap
54:44:3B	Huawei Technologies Co.,Ltd	MA-L	HuaweiTechno	2023-04-26	IEEE+Wireshark+Nmap
5C:70:75	Huawei Technologies Co.,Ltd	MA-L	HuaweiTechno	2023-04-26	IEEE+Wireshark+Nmap
CC:03:FA	Vantiva USA LLC	MA-L	VantivaUSA	2014-06-07	IEEE+Wireshark+Nmap
48:F7:C0	Vantiva USA LLC	MA-L	VantivaUSA	2015-11-10	IEEE+Wireshark+Nmap
48:00:33	Vantiva USA LLC	MA-L	VantivaUSA	2016-08-30	IEEE+Wireshark+Nmap
14:98:7D	Vantiva USA LLC	MA-L	VantivaUSA	2016-11-16	IEEE+Wireshark+Nmap
58:23:8C	Vantiva USA LLC	MA-L	VantivaUSA	2014-02-21	IEEE+Wireshark+Nmap
80:B2:34	Vantiva USA LLC	MA-L	VantivaUSA	2017-01-31	IEEE+Wireshark+Nmap
84:17:EF	Vantiva USA LLC	MA-L	VantivaUSA	2018-03-15	IEEE+Wireshark+Nmap
A4:56:CC	Vantiva USA LLC	MA-L	VantivaUSA	2018-04-28	IEEE+Wireshark+Nmap
70:03:7E	Vantiva USA LLC	MA-L	VantivaUSA	2018-06-07	IEEE+Wireshark+Nmap
44:1C:12	Vantiva USA LLC	MA-L	VantivaUSA	2018-09-07	IEEE+Wireshark+Nmap
5C:76:95	Vantiva USA LLC	MA-L	VantivaUSA	2019-06-19	IEEE+Wireshark+Nmap
AC:4C:A5	Vantiva USA LLC	MA-L	VantivaUSA	2022-07-01	IEEE+Wireshark+Nmap
00:CB:7A	Vantiva USA LLC	MA-L	VantivaUSA	2022-02-12	IEEE+Wireshark+Nmap
F8:D2:AC	Vantiva USA LLC	MA-L	VantivaUSA	2022-09-11	IEEE+Wireshark+Nmap
CC:F3:C8	Vantiva USA LLC	MA-L	VantivaUSA	2023-01-11	IEEE+Wireshark+Nmap
40:F3:B0	Texas Instruments	MA-L	TexasInstrum	2023-04-27	IEEE+Wireshark+Nmap
14:9C:EF	Texas Instruments	MA-L	TexasInstrum	2023-04-27	IEEE+Wireshark+Nmap
80:C4:1B	Texas Instruments	MA-L	TexasInstrum	2023-04-27	IEEE+Wireshark+Nmap
34:68:B5	Texas Instruments	MA-L	TexasInstrum	2023-04-27	IEEE+Wireshark+Nmap
58:AD:12	Apple, Inc.	MA-L	Apple	2023-05-03	IEEE+Wireshark+Nmap
60:FD:A6	Apple, Inc.	MA-L	Apple	2023-05-03	IEEE+Wireshark+Nmap
80:A9:97	Apple, Inc.	MA-L	Apple	2023-05-03	IEEE+Wireshark+Nmap
34:8C:5E	Apple, Inc.	MA-L	Apple	2023-05-03	IEEE+Wireshark+Nmap
D0:B2:C4	Vantiva USA LLC	MA-L	VantivaUSA	2016-03-08	IEEE+Wireshark+Nmap
80:C6:AB	Vantiva USA LLC	MA-L	VantivaUSA	2010-11-06	IEEE+Wireshark+Nmap
38:3F:B3	Vantiva USA LLC	MA-L	VantivaUSA	2019-08-31	IEEE+Wireshark+Nmap
64:12:36	Vantiva USA LLC	MA-L	VantivaUSA	2019-10-31	IEEE+Wireshark+Nmap
0C:75:D2	Hangzhou Hikvision Digital Technology Co.,Ltd.	MA-L	HikvisionDig	2023-04-25	IEEE+Wireshark+Nmap
D8:77:66	Nurivoice Co., Ltd	MA-L	Nurivoice	2023-04-25	IEEE+Wireshark+Nmap
B8:A7:5E	Wuxi Xinjie Electric Co.,Ltd	MA-L	WuxiXinjieEl	2023-04-21	IEEE+Wireshark+Nmap
70:81:85	New H3C Technologies Co., Ltd	MA-L	NewH3CTechno	2023-04-25	IEEE+Wireshark+Nmap
50:D3:3B	cloudnineinfo	MA-L	cloudnineinf	2023-04-18	IEEE+Wireshark+Nmap
84:C8:A0	Hui Zhou Gaoshengda Technology Co.,LTD	MA-L	HuiZhouGaosh	2023-04-18	IEEE+Wireshark+Nmap
A8:8B:28	Shenzhen Diyang Smart Technology Co.,Ltd.	MA-L	DiyangSmartT	2023-04-14	IEEE+Wireshark+Nmap
08:F0:1E	eero inc.	MA-L	eero	2023-04-14	IEEE+Wireshark+Nmap
18:A5:FF	Arcadyan Corporation	MA-L	Arcadyan	2023-04-11	IEEE+Wireshark+Nmap
8C:1A:F3	Shenzhen Gooxi Information Security CO.,Ltd.	MA-L	GooxiInforma	2023-04-08	IEEE+Wireshark+Nmap
F4:B6:C6	Indra Heera Technology LLP	MA-L	IndraHeeraTe	2023-04-08	IEEE+Wireshark+Nmap
6C:03:B5	Cisco Systems, Inc	MA-L	Cisco	2023-04-05	IEEE+Wireshark+Nmap
58:C4:1E	IEEE Registration Authority	MA-L		2023-04-15	IEEE+Nmap
A8:91:62	Sophos Ltd	MA-L	Sophos	2023-04-15	IEEE+Wireshark+Nmap
70:98:83	Shenzhen Kayan Electronics., Ltd.	MA-L	KayanElectro	2023-04-05	IEEE+Wireshark+Nmap
F4:3A:7B	zte corporation	MA-L	zte	2023-04-05	IEEE+Wireshark+Nmap
68:9E:29	zte corporation	MA-L	zte	2023-04-05	IEEE+Wireshark+Nmap
E4:40:97	Guangdong Oppo Mobile Telecommunications Corp.,Ltd	MA-L	OppoMobileTe	2023-04-15	IEEE+Wireshark+Nmap
DC:B4:CA	Guangdong Oppo Mobile Telecommunications Corp.,Ltd	MA-L	OppoMobileTe	2023-04-15	IEEE+Wireshark+Nmap
8C:D5:4A	Taiyo Yuden Co.,Ltd	MA-L	TaiyoYuden	2023-04-14	IEEE+Wireshark+Nmap
A0:02:A5	Intel Corporate	MA-L	Intel	2023-04-08	IEEE+Wireshark+Nmap
AC:C0:48	OnePlus Technology (Shenzhen) Co., Ltd	MA-L	OnePlusTechn	2023-04-01	IEEE+Wireshark+Nmap
40:84:32	Microchip Technology Inc.	MA-L	MicrochipTec	2023-03-31	IEEE+Wireshark+Nmap
44:D5:C1	EM Microelectronic	MA-L	EMMicroelect	2023-03-30	IEEE+Wireshark+Nmap
94:3B:B1	Kaon Group Co., Ltd.	MA-L	KaonGroup	2013-08-09	IEEE+Wireshark+Nmap
44:F0:34	Kaon Group Co., Ltd.	MA-L	KaonGroup	2017-09-19	IEEE+Wireshark+Nmap
88:8F:10	Shenzhen Max Infinite Technology Co.,Ltd.	MA-L	MaxInfiniteT	2023-03-30	IEEE+Wireshark+Nmap
C4:79:9F	Haiguang Smart Device Co.,Ltd.	MA-L	HaiguangSmar	2023-04-02	IEEE+Wireshark+Nmap
84:28:59	Amazon Technologies Inc.	MA-L	AmazonTechno	2023-04-01	IEEE+Wireshark+Nmap
50:16:F4	Motorola Mobility LLC, a Lenovo Company	MA-L	MotorolaMobi	2023-03-30	IEEE+Wireshark+Nmap
3C:08:CD	Juniper Networks	MA-L	JuniperNetwo	2023-03-30	IEEE+Wireshark+Nmap
68:50:5D	Halo Technologies	MA-L	HaloTechnolo	2023-03-25	IEEE+Wireshark+Nmap
7C:6A:8A	SINOBONDER Technology Co., Ltd.	MA-L	SINOBONDERTe	2023-03-24	IEEE+Wireshark+Nmap
90:EC:E3	Nokia	MA-L	Nokia	2023-03-22	IEEE+Wireshark+Nmap
88:7B:2C	zte corporation	MA-L	zte	2023-03-22	IEEE+Wireshark+Nmap
60:DB:EF	Unify Software and Solutions GmbH & Co. KG	MA-L	UnifySoftwar	2023-03-22	IEEE+Wireshark+Nmap
00:16:F6	Nevion	MA-L	Nevion	2006-01-03	IEEE+Wireshark+Nmap
40:B7:FC	Phyplus Microelectronics Limited	MA-L	PhyplusMicro	2023-03-10	IEEE+Wireshark+Nmap
68:2C:4F	leerang corporation	MA-L	leerang	2023-03-10	IEEE+Wireshark+Nmap
B8:51:A9	Nokia	MA-L	Nokia	2023-03-15	IEEE+Wireshark+Nmap
D0:77:CE	Edgecore Networks Corporation	MA-L	EdgecoreNetw	2023-03-14	IEEE+Wireshark+Nmap
EC:AF:F9	Hailo Technologies Ltd.	MA-L	HailoTechnol	2023-03-12	IEEE+Wireshark+Nmap
FC:59:C0	Arista Networks	MA-L	AristaNetwor	2023-03-10	IEEE+Wireshark+Nmap
